color,total_cats,adopted_cats,adoption_rate_pct
Yellow/Cream,2,2,100.00
Blue/Calico,1,1,100.00
Gray/Calico,1,1,100.00
Tortie/Tortie,4,4,100.00
Tortie/Gold,1,1,100.00
White/Silver,2,2,100.00
Tortie/Gray,4,4,100.00
"Gray Tabby/Tan",1,1,100.00
"Cream Tiger/Brown Tabby",1,1,100.00
"Agouti/Brown Tabby",2,2,100.00
Black/Calico,1,1,100.00
"Blue Tabby/Brown",2,2,100.00
"Brown Tabby/Agouti",3,3,100.00
Apricot,2,2,100.00
"Silver/Silver Tabby",1,1,100.00
"White/Calico Point",2,2,100.00
"Black Tabby/Black Smoke",1,1,100.00
"Silver Lynx Point/White",3,3,100.00
"Brown Tabby/Liver",1,1,100.00
Tricolor/Tortie,1,1,100.00
"Silver Tabby/Black",1,1,100.00
"Calico/Blue Cream",3,3,100.00
"Gray Tabby/Orange",1,1,100.00
"Torbie/Blue Cream",4,4,100.00
"Chocolate Point/Cream",1,1,100.00
"Black Tiger",2,2,100.00
"Lynx Point/Blue",1,1,100.00
"Brown Tabby/Silver",4,4,100.00
"Lilac Point/Black",1,1,100.00
"Blue Smoke/Gray",1,1,100.00
"Tortie/Blue Tabby",1,1,100.00
"Brown Tabby/Gold",1,1,100.00
"Brown Tabby/Black Brindle",1,1,100.00
White/Agouti,1,1,100.00
"Cream Tabby/Cream Tabby",1,1,100.00
"Blue Tabby/Tan",1,1,100.00
"White/Black Smoke",2,2,100.00
"Cream Tabby/Orange Tabby",1,1,100.00
"Seal Point/Silver",1,1,100.00
"Cream/Blue Point",2,2,100.00
"Lynx Point/Tortie Point",4,4,100.00
"Lynx Point/Gray",2,2,100.00
"Red Tick",1,1,100.00
Ruddy,1,1,100.00
Agouti/Gold,1,1,100.00
"Tortie Point/Blue",1,1,100.00
Fawn/Gray,1,1,100.00
"Brown/Seal Point",1,1,100.00
"Tortie Point/Seal Point",1,1,100.00
"Lynx Point/Blue Point",1,1,100.00
"Orange Tabby/Tan",1,1,100.00
Sable,1,1,100.00
"Brown Tabby/Tortie",6,5,83.33
White/Tricolor,5,4,80.00
Torbie/Orange,5,4,80.00
"Brown Tabby/Cream",9,7,77.78
"Blue Point/White",25,19,76.00
White/Chocolate,4,3,75.00
"Tortie/Blue Cream",16,12,75.00
Calico/Gray,4,3,75.00
"Black Smoke/Black Tabby",8,6,75.00
"Blue Tabby/Black",4,3,75.00
"White/Silver Tabby",8,6,75.00
"Chocolate/Black Smoke",4,3,75.00
"Orange Tabby/Orange",4,3,75.00
"Blue Tabby/Cream",10,7,70.00
"Calico Point/White",10,7,70.00
"Blue Smoke",18,12,66.67
Agouti,21,14,66.67
"White/Flame Point",3,2,66.67
Black/Silver,3,2,66.67
"Brown Tabby/Calico",3,2,66.67
"White/Tortie Point",3,2,66.67
Agouti/White,3,2,66.67
Chocolate/White,9,6,66.67
"Orange Tiger",6,4,66.67
Blue/Orange,3,2,66.67
Torbie/Black,3,2,66.67
Blue/Tortie,6,4,66.67
"Orange Tabby/Cream",6,4,66.67
"Tortie Point/White",14,9,64.29
"Black Smoke",226,144,63.72
"Tortie Point",183,115,62.84
"Calico/Brown Tabby",16,10,62.50
"White/Seal Point",8,5,62.50
"Seal Point/White",93,58,62.37
"Blue Tabby/White",1285,800,62.26
"White/Black Tabby",18,11,61.11
